Cool,Pop,Doesn't drink,Other,F
Cool,Rock,Wine,Coca Cola/Pepsi,M
Cool,Rock,Vodka,Coca Cola/Pepsi,F
Cool,Hip hop,Beer,Coca Cola/Pepsi,M
Cool,Pop,Whiskey,Fanta,M
Cool,Electronic,Beer,Coca Cola/Pepsi,M
Warm,Rock,Other,Coca Cola/Pepsi,F
Cool,Pop,Beer,Coca Cola/Pepsi,F
Warm,Electronic,Other,Coca Cola/Pepsi,M
Cool,Pop,Doesn't drink,Coca Cola/Pepsi,F
Warm,Pop,Whiskey,Fanta,F
Warm,Rock,Other,7UP/Sprite,F
Cool,Pop,Wine,7UP/Sprite,F
Cool,Pop,Beer,Fanta,F
Cool,R&B and soul,Beer,Coca Cola/Pepsi,F
Cool,Pop,Doesn't drink,7UP/Sprite,F
Cool,Rock,Other,Coca Cola/Pepsi,F
Cool,Rock,Doesn't drink,Coca Cola/Pepsi,M
Cool,Rock,Other,Coca Cola/Pepsi,F
