Date,Open,High,Low,Close,Adj Close,Volume
2015-09-18,41.058308,43.101688,41.058308,42.475052,41.152264,16642761
2015-09-21,41.848415,45.199554,41.466984,44.218735,42.841637,10205902
2015-09-22,44.518429,45.771702,42.257092,42.720257,41.389832,7453139
2015-09-23,41.439739,44.136997,41.412495,43.592098,42.234520,7308058
2015-09-24,43.592098,44.273224,42.774746,43.755569,42.392895,6136409
2015-09-28,44.136997,45.117821,43.401382,43.782814,42.419292,5042820
2015-09-29,42.801991,44.681900,41.848415,43.074444,41.732983,7114293
2015-09-30,43.592098,44.354961,42.856480,44.055264,42.683266,4967654
2015-10-01,44.518429,45.063332,43.292400,43.891792,42.524883,5458967
2015-10-05,44.300468,45.226803,44.164246,44.818127,43.422363,5424113
2015-10-06,45.226803,47.161201,45.036087,45.853439,44.425438,8280258
2015-10-07,46.071400,47.079468,45.880684,46.234867,44.794979,5196692
2015-10-08,46.480076,46.534565,44.790882,45.853439,44.425438,3677139
2015-10-09,46.316605,46.997730,44.899860,45.744457,44.319843,4981978
2015-10-12,46.016907,47.842327,45.635475,46.915997,45.454903,5669432
2015-10-13,46.861504,47.079468,45.880684,46.343849,44.900574,3209653
2015-10-14,46.289360,47.624367,45.798946,46.207623,44.768589,3471935
2015-10-15,46.561810,53.727261,46.561810,52.719193,51.077374,46389867
2015-10-16,53.400318,55.579926,51.656635,52.365009,50.734219,29536061
2015-10-19,52.038067,52.283272,50.675816,51.084492,49.493580,6970459
2015-10-20,51.220715,53.509300,51.138981,52.310516,50.681423,8720857
2015-10-21,52.310516,52.746437,49.749481,51.057243,49.467178,5527554
2015-10-23,51.493168,52.555721,51.057243,51.247959,49.651951,5240377
2015-10-26,51.329697,51.656635,49.640499,49.940197,48.384922,3787304
2015-10-27,49.694992,50.430607,49.449787,50.021931,48.464108,5276126
2015-10-28,49.803970,50.675816,49.041111,49.640499,48.094563,6442492
2015-10-29,49.749481,50.348873,49.286316,49.667747,48.120953,5365170
2015-10-30,49.749481,51.438675,49.586010,50.348873,48.780872,8062369
2015-11-02,50.403362,50.539589,47.733349,48.169270,46.669144,9626089
2015-11-03,48.605190,49.068356,47.515388,48.169270,46.669144,6570152
2015-11-04,48.496208,48.823151,46.234867,46.425583,44.979767,5166112
2015-11-05,46.343849,46.425583,44.136997,44.436695,43.052811,4818884
2015-11-06,44.627411,44.899860,42.502296,43.074444,41.732983,6193549
2015-11-09,41.249023,43.755569,40.922081,43.292400,41.944160,7812735
2015-11-10,43.210667,43.401382,41.412495,41.575962,40.281170,4699200
2015-11-13,42.175354,42.175354,40.486160,41.112797,39.832424,4378881
2015-11-16,41.031063,42.638519,40.731365,42.011883,40.703514,4831517
2015-11-17,42.284336,44.627411,42.175354,43.673832,42.313709,9313041
2015-11-18,43.673832,43.782814,42.202599,42.475052,41.152264,3872022
2015-11-19,42.720257,43.183422,41.712189,42.475052,41.152264,3884973
2015-11-20,42.665768,43.483116,42.066376,42.611275,41.284237,4890165
2015-11-23,42.774746,44.136997,42.774746,43.183422,41.838577,5297543
2015-11-24,43.428627,44.273224,42.992706,43.374138,42.023346,7182239
2015-11-26,43.592098,45.635475,43.319649,45.008842,43.607140,7493473
2015-11-27,45.226803,45.717213,44.518429,44.818127,43.422363,3772617
2015-11-30,44.818127,45.472008,44.463940,44.899860,43.501553,2773913
2015-12-01,45.090576,45.117821,44.055264,44.409451,43.026417,2357904
