Change INR,Change Yuan
0.010002,0.0145
0.775299,-0.0108
-0.340301,-0.0076
0.216797,0.0031
0.516403,0.0081
-0.170204,-0.0004
0.260704,-0.0025
0.526298,0.0026
0.662804,-0.0017
-0.166306,-0.001
-0.779594,0.0042
0.1754,0.0179
0.443397,0.0258
-0.263603,0.0046
-0.224197,-0.0179
-0.2417,-0.0057
-0.042602,0.0147
-0.035194,-0.0057
0.360694,0.0108
-0.2052,0.006
