Date,Open,High,Low,Close,Adj Close,Volume,Change
23-02-2022,74.623001,74.859001,74.5,74.623001,74.623001,0,0.010002
24-02-2022,74.639801,75.901001,74.629501,74.633003,74.633003,0,0.775299
25-02-2022,75.408302,75.6595,75.064499,75.408302,75.408302,0,-0.340301
28-02-2022,75.055199,75.786003,74.900002,75.068001,75.068001,0,0.216797
01-03-2022,75.284798,75.895103,75.212196,75.284798,75.284798,0,0.516403
02-03-2022,75.801102,76.096497,75.428299,75.801201,75.801201,0,-0.170204
03-03-2022,75.638298,76.018997,75.571999,75.630997,75.630997,0,0.260704
04-03-2022,75.886803,76.524101,75.885002,75.891701,75.891701,0,0.526298
07-03-2022,76.4207,77.156799,76.4207,76.417999,76.417999,0,0.662804
08-03-2022,77.080803,77.373497,76.730003,77.080803,77.080803,0,-0.166306
09-03-2022,76.914497,77.286499,76.315804,76.914497,76.914497,0,-0.779594
10-03-2022,76.134903,76.481003,75.898697,76.134903,76.134903,0,0.1754
11-03-2022,76.310303,76.706497,76.254501,76.310303,76.310303,0,0.443397
14-03-2022,76.759003,76.759102,76.342499,76.7537,76.7537,0,-0.263603
15-03-2022,76.490097,76.981499,76.304497,76.490097,76.490097,0,-0.224197
16-03-2022,76.293198,76.638,76.042,76.2659,76.2659,0,-0.2417
17-03-2022,76.0242,76.238503,75.759003,76.0242,76.0242,0,-0.042602
18-03-2022,75.981598,76.206497,75.912498,75.981598,75.981598,0,-0.035194
21-03-2022,75.946404,76.277298,75.891998,75.946404,75.946404,0,0.360694
22-03-2022,76.290001,76.689003,75.984497,76.307098,76.307098,0,-0.2052
23-03-2022,76.101898,76.5084,75.976997,76.101898,76.101898,0,
